model,name,desc,cat1,cat2,cat3,cat4,quantity,price,manufacturer,manufacturer_pb,weight,unit
111238,"""Gliter prah sitni PRLJAVO ROZI 5gr  4NAILS""",,"""SVE ZA KOZMETIČKE SALONE""","""MANIKIR""","""NAIL ART""","""CIRKONI I GLITERI""",361,61,"""4NAILS""",,0,"""kom"""
111239,"""Gliter prah trakice PLAVI  5gr 4NAILS""",,"""SVE ZA KOZMETIČKE SALONE""","""MANIKIR""","""NAIL ART""","""CIRKONI I GLITERI""",367,61,"""4NAILS""",,0,"""kom"""
111240,"""Gliter prah trakice CRNI  5gr 4NAILS""",,"""SVE ZA KOZMETIČKE SALONE""","""MANIKIR""","""NAIL ART""","""CIRKONI I GLITERI""",122,61,"""4NAILS""",,0,"""kom"""
111241,"""Gliter prah lom staklo TAMNO ZELENI  5gr 4NAILS""",,"""SVE ZA KOZMETIČKE SALONE""","""MANIKIR""","""NAIL ART""","""CIRKONI I GLITERI""",494,72,"""4NAILS""",,0,"""kom"""
111242,"""Gliter prah lom staklo ŽUTI  5gr 4NAILS""",,"""SVE ZA KOZMETIČKE SALONE""","""MANIKIR""","""NAIL ART""","""CIRKONI I GLITERI""",108,72,"""4NAILS""",,0,"""kom"""
111243,"""Gliter prah lom staklo SV. LJUBIČASTI  5gr 4NAILS""",,"""SVE ZA KOZMETIČKE SALONE""","""MANIKIR""","""NAIL ART""","""CIRKONI I GLITERI""",360,72,"""4NAILS""",,0,"""kom"""
111228,"""Dekoracija lomljena školjka BABY ROZA 4NAILS""",,"""SVE ZA KOZMETIČKE SALONE""","""MANIKIR""","""NAIL ART""","""OSTALO""",309,63,"""4NAILS""",,0,"""kom"""
111229,"""Dekoracija lomljena školjka BRAON 4NAILS""",,"""SVE ZA KOZMETIČKE SALONE""","""MANIKIR""","""NAIL ART""","""OSTALO""",352,63,"""4NAILS""",,0,"""kom"""
111230,"""Dekoracija lomljena školjka ŽUTA 4NAILS""",,"""SVE ZA KOZMETIČKE SALONE""","""MANIKIR""","""NAIL ART""","""OSTALO""",392,63,"""4NAILS""",,0,"""kom"""
111231,"""Dekoracija lomljena školjka JORGOVAN 4NAILS""",,"""SVE ZA KOZMETIČKE SALONE""","""MANIKIR""","""NAIL ART""","""OSTALO""",819,63,"""4NAILS""",,0,"""kom"""
111232,"""Dekoracija lomljena školjka CIKLAMA 4NAILS""",,"""SVE ZA KOZMETIČKE SALONE""","""MANIKIR""","""NAIL ART""","""OSTALO""",205,63,"""4NAILS""",,0,"""kom"""
111233,"""Dekoracija lomljena školjka GRAFIT 4NAILS""",,"""SVE ZA KOZMETIČKE SALONE""","""MANIKIR""","""NAIL ART""","""OSTALO""",747,63,"""4NAILS""",,0,"""kom"""
111234,"""Dekoracija lomljena školjka KREM ROZA 4NAILS""",,"""SVE ZA KOZMETIČKE SALONE""","""MANIKIR""","""NAIL ART""","""OSTALO""",297,63,"""4NAILS""",,0,"""kom"""
111299,"""Dekoracija za nokte ukrasna TRAKA 4NAILS""",,"""SVE ZA KOZMETIČKE SALONE""","""MANIKIR""","""NAIL ART""","""NALEPNICE I TRAKE ZA NOKTE""",594,86,"""4NAILS""",,0,"""kom"""
111244,"""Gliter prah lom staklo PLAVI  5gr 4NAILS""",,"""SVE ZA KOZMETIČKE SALONE""","""MANIKIR""","""NAIL ART""","""CIRKONI I GLITERI""",203,72,"""4NAILS""",,0,"""kom"""
111245,"""Gliter prah lom staklo ZELENI  5gr 4NAILS""",,"""SVE ZA KOZMETIČKE SALONE""","""MANIKIR""","""NAIL ART""","""CIRKONI I GLITERI""",430,72,"""4NAILS""",,0,"""kom"""
111246,"""Gliter prah lom staklo BRAON  5gr 4NAILS""",,"""SVE ZA KOZMETIČKE SALONE""","""MANIKIR""","""NAIL ART""","""CIRKONI I GLITERI""",339,72,"""4NAILS""",,0,"""kom"""
111247,"""Gliter prah krupni PINK  3gr 4NAILS""",,"""SVE ZA KOZMETIČKE SALONE""","""MANIKIR""","""NAIL ART""","""CIRKONI I GLITERI""",98,72,"""4NAILS""",,0,"""kom"""
111248,"""Gliter prah krupni TAMNO PLAVI  3gr 4NAILS""",,"""SVE ZA KOZMETIČKE SALONE""","""MANIKIR""","""NAIL ART""","""CIRKONI I GLITERI""",152,72,"""4NAILS""",,0,"""kom"""
111249,"""Gliter prah krupni ZLATNI  3gr 4NAILS""",,"""SVE ZA KOZMETIČKE SALONE""","""MANIKIR""","""NAIL ART""","""CIRKONI I GLITERI""",230,72,"""4NAILS""",,0,"""kom"""
111250,"""Gliter prah krupni SIVI  3gr 4NAILS""",,"""SVE ZA KOZMETIČKE SALONE""","""MANIKIR""","""NAIL ART""","""CIRKONI I GLITERI""",55,72,"""4NAILS""",,0,"""kom"""
111251,"""Gliter prah krupni NARANDŽASTI  3gr 4NAILS""",,"""SVE ZA KOZMETIČKE SALONE""","""MANIKIR""","""NAIL ART""","""CIRKONI I GLITERI""",161,72,"""4NAILS""",,0,"""kom"""
111252,"""Gliter prah krupni CRVENI  3gr 4NAILS""",,"""SVE ZA KOZMETIČKE SALONE""","""MANIKIR""","""NAIL ART""","""CIRKONI I GLITERI""",307,72,"""4NAILS""",,0,"""kom"""
111274,"""Displej uzoraka za nokte 18/1  4NAILS""",,"""SVE ZA KOZMETIČKE SALONE""","""MANIKIR""","""ALAT, PRIBOR I SITAN INVENTAR""","""OSTALO""",21,467,"""4NAILS""",,0,"""kom"""
111275,"""Dekoracija za nokte ukrasno PERO 4NAILS""",,"""SVE ZA KOZMETIČKE SALONE""","""MANIKIR""","""NAIL ART""","""OSTALO""",3633,61,"""4NAILS""",,0,"""kom"""
111285,"""Četkica za nanošenje akrila br.4  NB1023  4NAILS""",,"""SVE ZA KOZMETIČKE SALONE""","""MANIKIR""","""ALAT, PRIBOR I SITAN INVENTAR""","""ČETKICE""",66,220,"""4NAILS""",,0,"""kom"""
111286,"""Četkica za nanošenje akrila br.6  NB1023  4NAILS""",,"""SVE ZA KOZMETIČKE SALONE""","""MANIKIR""","""ALAT, PRIBOR I SITAN INVENTAR""","""ČETKICE""",49,239,"""4NAILS""",,0,"""kom"""
111287,"""Četkica za nanošenje akrila br.8  NB1023  4NAILS""",,"""SVE ZA KOZMETIČKE SALONE""","""MANIKIR""","""ALAT, PRIBOR I SITAN INVENTAR""","""ČETKICE""",166,277,"""4NAILS""",,0,"""kom"""
111288,"""Četkica za nanošenje akrila br.10  NB1023  4NAILS""",,"""SVE ZA KOZMETIČKE SALONE""","""MANIKIR""","""ALAT, PRIBOR I SITAN INVENTAR""","""ČETKICE""",183,312,"""4NAILS""",,0,"""kom"""
111289,"""Četkica za nanošenje akrila br.2  NB1024  4NAILS""",,"""SVE ZA KOZMETIČKE SALONE""","""MANIKIR""","""ALAT, PRIBOR I SITAN INVENTAR""","""ČETKICE""",13,258,"""4NAILS""",,0,"""kom"""
111290,"""Četkica za nanošenje akrila br.4  NB1024  4NAILS""",,"""SVE ZA KOZMETIČKE SALONE""","""MANIKIR""","""ALAT, PRIBOR I SITAN INVENTAR""","""ČETKICE""",116,293,"""4NAILS""",,0,"""kom"""
111291,"""Četkica za nanošenje akrila br.6  NB1024  4NAILS""",,"""SVE ZA KOZMETIČKE SALONE""","""MANIKIR""","""ALAT, PRIBOR I SITAN INVENTAR""","""ČETKICE""",63,368,"""4NAILS""",,0,"""kom"""
111292,"""Četkica za nanošenje akrila br.8  NB1024  4NAILS""",,"""SVE ZA KOZMETIČKE SALONE""","""MANIKIR""","""ALAT, PRIBOR I SITAN INVENTAR""","""ČETKICE""",363,441,"""4NAILS""",,0,"""kom"""
